asins,ean,upc,dimension,weight,keys,product_id
B073JHHNJ9,,606000000000.0,4.70 in x 1.80 in x 0.87 in,0.147 lb,"606449120882,netgear/a700010000s,nighthawkac1900dualbandwifiusbadapter/b073jhhnj9,nighthawkac1900dualbandwifiusbadapter/nea7000",AV15fqDs-jtxr-f38R4C
B00KGGK1J8,,887000000000.0,3.5 x 0.1 x 7 inches,5.6 ounces,"samsunguniversal3100mahportableexternalbatterychargerwhite/131775755856,samsunguniversal3100mahportableexternalbatterychargerwhite/saebp310siwe,887276962818,samsunguniversal3100mahportableexternalbatterychargerwhite/5573022,samsunguniversal3100mahportableexternalbatterychargerwhite/b00kggk1j8,samsunguniversal3100mahportableexternalbatterychargerwhite/301798324803,samsung/ebp310siwesta",AVpgnnzJilAPnD_xu_7Q
B00IAKLM54,97855100818.0,97855100818.0,2.2 x 1.2 x 7.3 inches,1.7 pounds,"logitech/915000224,logitech915000224harmonyultimateone15deviceuniversalinfraredremotewithcustomizabletouchscreencontrolblack/111448285620,logitech915000224harmonyultimateone15deviceuniversalinfraredremotewithcustomizabletouchscreencontrolblack/b00iaklm54,097855100818,0097855100818,logitech915000224harmonyultimateone15deviceuniversalinfraredremotewithcustomizabletouchscreencontrolblack/553645002,logitech915000224harmonyultimateone15deviceuniversalinfraredremotewithcustomizabletouchscreencontrolblack/3721047,logitech915000224harmonyultimateone15deviceuniversalinfraredremotewithcustomizabletouchscreencontrolblack/hahuor",AVpgfP3DilAPnD_xtG3M
"B005MJHFHK,B00VXW0J5A,B00OY50CZU",735000000000.0,735000000000.0,Inconnue,1.2 lbs,"peerlessav/acc570,roundlcdprojectorceilingplateblack/8180158,peerless/acc570,roundlcdprojectorceilingplateblack/peacc570,735029200956,0735029200956,roundlcdprojectorceilingplateblack/b00oy50czu,roundlcdprojectorceilingplateblack/b005mjhfhk,roundlcdprojectorceilingplateblack/b00vxw0j5a",AVpe8ZRY1cnluZ0-aY4H
B00C78VIUE,,7.94E+11,Inconnue,32.8 pounds,"sanusvlf410b110inchsuperslimfullmotionmountfor3784inchestvs/savlf410b1,sanusvlf410b110inchsuperslimfullmotionmountfor3784inchestvs/b00c78viue,sanusvlf410b110inchsuperslimfullmotionmountfor3784inchestvs/5689019,sanus/vlf410b1,793795525420",AVphzgbJLJeJML43fA0o
"B018K251JE,B00VILQKQ8",,6.42E+11,Inconnue,14 pounds,"boytone2500w21chhometheatersystemblackdiamond/b018k251je,boytone2500w21chhometheatersystemblackdiamond/4784804,boytone2500w21chhometheatersystemblackdiamond/b00vilqkq8,boytone/bt210f,boytone2500w21chhometheatersystemblackdiamond/554725012,642014746682",AVpgMuGwLJeJML43KY_c
B002P9GP62,,8.14E+11,Inconnue,1.2 pounds,"denaq/dqpa3032u5525,denaqacadapterfortoshibasatellite1700171017151730173517501755195530003005a100m30xm35xblack/b002p9gp62,denaqacadapterfortoshibasatellite1700171017151730173517501755195530003005a100m30xm35xblack/6482103,814352012303,dantona/dqpa3032u5525",AVpe9FXeLJeJML43zHrq
B00U0VEGRM,,7.52E+11,Inconnue,13.2 pounds,"dreamwavetremorarmygreenblackaluminumwireless50wruggedoutdoorbluetoothspeaker/b00u0vegrm,dreamwave/tremor,752423791996,dreamwavetremorportablebluetoothspeakergreenblack/5436508",AVpfVJXu1cnluZ0-iwTT
B001AVRD62,27108105321,27108105321,Inconnue,1.6 lb 2.6 lb 1.6 lb 18.7 lb,"nssp1800bl51channelhometheatersystemblack/yanssp1800bl,nssp1800bl51channelhometheatersystemblack/4452997,nssp1800bl51channelhometheatersystemblack/550726013,nssp1800bl51channelhometheatersystemblack/1306813820,799665006693,nssp1800bl51channelhometheatersystemblack/b001avrd62,027108105321,0027108105321,yamaha/nssp1800bl",AVphUeKeilAPnD_x3-Be
B00F9LIW5K,,6.57E+11,Inconnue,1.1 pounds,"universalremotecontrol/x7,656787300071,universalremotecontrol48deviceuniversalremoteblack/8381044,universalremotecontrol48deviceuniversalremote/b00f9liw5k",AVpi6aLv1cnluZ0-Rv8A
B00TVFO08S,,17817664585,Inconnue,1.18 lb,"acoustimass6seriesvhometheaterspeakersystemblack/boacm6svhts,acoustimass6seriesvhometheaterspeakersystemblack/182715469802,bose/7209601100,017817664585,acoustimass6seriesvhometheaterspeakersystemblack/b00tvfo08s,acoustimass6seriesvhometheaterspeakersystemblack/4368058",AVpf0Nyo1cnluZ0-rzhu
B00LF10KTO,,8.87E+11,Inconnue,0.14 ounces,"887276057491,samsung850pro512gbinternalsataiiisolidstatedriveforlaptops/2167165,samsung/mz7ke512bw,samsung850pro512gb25inchsataiiiinternalssdmz7ke512bw/b00lf10kto,samsung850pro512gbinternalsataiiisolidstatedriveforlaptops/2397049",AWOpOCd2YSSHbkXw07ei
B0134EW7G8,,8.44E+11,Inconnue,3.2 ounces,"corsair/cmk16gx4m2b3000c15,843591070010,corsairvengeancelpxseries16gb2pk8gb30ghzddr4desktopmemoryblack/5822467,corsairvengeancelpx16gb2x8gbddr4dram3000mhzc15memorykitblack/5822467,corsairvengeancelpx16gb2x8gbddr4dram3000mhzc15desktopmemorykitblackcmk16gx4m2b3000c15/b0134ew7g8",AV2Z1Efc-jtxr-f39lm6
B00UMP7TF2,,"818,389,012,855,818,000,000,000",Inconnue,6.7 ounces,"818389012855,818389012886,outdoortechbuckshotprobluetoothspeaker/8961980001,outdoortech/ot1351gr,outdoortechbuckshotprobluetoothspeaker/8961980002,outdoortechbuckshotproportablebluetoothspeakerglowindark/4703100,outdoortechot1351buckshotpro3in1ruggedwirelessbluetoothspeakerwithpowerbank3modeflashlightgray/b00ump7tf2,outdoortechbuckshotproportablebluetoothspeakergray/4703107",AVpgNkVc1cnluZ0-yJB6
B00LIL7YVI,8.16E+11,8.16E+11,Inconnue,13.6 ounces,"0816479012303,motorolawifipetvideocamera/4556600,816479012303,motorolawifipetvideocamera/554756472,motorolawifipetvideocamera/2399369,motorolawifipetvideocamera/b00lil7yvi,motorola/scout66",AVpgGPyq1cnluZ0-wbTJ
B07644ZS1D,,8.87E+11,Inconnue,0.017 pounds,"samsunggeariconx2018editionbluetoothcordfreefitnessearbuds/b07644zs1d,samsung/smr140nzkaxar,geariconxwirelessearbuds2018versionblack/sagicxwlebb,samsunggeariconx2018editioncordfreefitnessearbudsusversionwithwarrantyblack/567280501,samsunggeariconx2018truewirelessearbudheadphonesblack/6110749,887276236452,samsunggeariconx2018truewirelessearbudheadphonesblack/6110748,samsunggeariconx2018truewirelessearbudheadphonesblack/6110750,detailsaboutsamsunggeariconx2018editioncordfreefitnessearbudsblackusversion/183248964056",AWACBprXKZqtpbFMVBZo
B008JJLZ7G,,7.18E+11,Inconnue,1.32 lb,"2tbred5400rpmsataiii35internalnashdd/b008jjlz7g,wd/wd20efrx,718037799667,2tbred5400rpmsataiii35internalnashdd/2764463,2tbred5400rpmsataiii35internalnashdd/wewd20efrx,2tbred5400rpmsataiii35internalnashdd/142445493836,2tbred5400rpmsataiii35internalnashdd/6560007",AVpfVI9wilAPnD_xZxH-
